Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
133.0000 0.0549 -0.1558 0.6450 -0.1521 26.4623
133.0000 0.0549 -0.1558 0.9200 -0.1926 28.1482
134.0000 0.0590 -0.1558 0.3700 -0.7359 25.3280
134.0000 0.0590 -0.1558 0.6450 -0.7747 27.8129
134.0000 0.0590 -0.1558 0.9200 -0.7461 27.9008
135.0000 0.0631 -0.1558 0.3700 -1.3945 27.3540
135.0000 0.0631 -0.1558 0.6450 -1.3289 27.6187
135.0000 0.0631 -0.1558 0.9200 -1.3717 28.7348
136.0000 0.0672 -0.1558 0.3700 -1.9375 27.1626
136.0000 0.0672 -0.1558 0.6450 -1.8588 27.3173
136.0000 0.0672 -0.1558 0.9200 -1.9621 28.6640
137.0000 0.0712 -0.1558 0.3700 -2.5894 27.5855
137.0000 0.0712 -0.1558 0.6450 -2.5576 28.4873
137.0000 0.0712 -0.1558 0.9200 -2.5833 29.2269
138.0000 0.0753 -0.1558 0.3700 -3.2530 27.8641
138.0000 0.0753 -0.1558 0.6450 -3.2018 28.8806
138.0000 0.0753 -0.1558 0.9200 -3.1376 29.1304
139.0000 0.0794 -0.1558 0.3700 -3.3769 26.3673
139.0000 0.0794 -0.1558 0.6450 -3.7901 28.7214
139.0000 0.0794 -0.1558 0.9200 -3.6073 28.2029
140.0000 0.0834 -0.1558 0.3700 -4.1955 27.4581
140.0000 0.0834 -0.1558 0.6450 -4.2937 28.7119
140.0000 0.0834 -0.1558 0.9200 -4.5482 30.1428
141.0000 0.0875 -0.1558 0.3700 -4.3347 26.2219
141.0000 0.0875 -0.1558 0.6450 -4.7322 28.5444
141.0000 0.0875 -0.1558 0.9200 -4.7171 28.4529
142.0000 0.0916 -0.1558 0.3700 0.0000 0.0000
142.0000 0.0916 -0.1558 0.6450 -5.0601 26.5005
142.0000 0.0916 -0.1558 0.9200 -4.9075 26.6928
143.0000 0.0957 -0.1558 0.3700 0.0000 0.0000
143.0000 0.0957 -0.1558 0.6450 0.0000 0.0000
143.0000 0.0957 -0.1558 0.9200 -0.4643 8.8010
144.0000 0.0997 -0.1558 0.3700 0.0000 0.0000
